,開倉時間,方向,開倉價格,槓桿倍數,爆倉價格,掛單價格,結果,平倉時間,獲利金額
0,2022-01-03 00:00:00,up,47340.47,10,42606.42,47540.47,Win,2022-01-03 00:00:00,1.27
1,2022-01-03 18:00:00,up,46984.56,10,42286.1,47184.56,Win,2022-01-03 18:00:00,1.28
2,2022-01-03 23:00:00,down,46874.53,10,51561.98,46674.53,Win,2022-01-03 23:00:00,1.28
3,2022-01-05 02:00:00,down,46555.0,10,51210.5,46355.0,Win,2022-01-05 02:00:00,1.29
4,2022-01-05 11:00:00,up,46296.96,10,41667.26,46496.96,Win,2022-01-05 11:00:00,1.3
5,2022-01-06 01:00:00,down,46301.62,10,50931.78,46101.62,Win,2022-01-06 01:00:00,1.3
6,2022-01-07 12:00:00,down,41803.11,10,45983.42,41603.11,Win,2022-01-07 12:00:00,1.44
7,2022-01-07 23:00:00,down,41894.4,10,46083.84,41694.4,Win,2022-01-07 23:00:00,1.43
8,2022-01-09 00:00:00,down,41609.6,10,45770.56,41409.6,Win,2022-01-09 00:00:00,1.44
9,2022-01-09 06:00:00,up,41769.03,10,37592.13,41969.03,Win,2022-01-09 06:00:00,1.44
10,2022-01-09 21:00:00,down,41746.98,10,45921.68,41546.98,Win,2022-01-09 21:00:00,1.44
11,2022-01-10 08:00:00,down,41864.62,10,46051.08,41664.62,Win,2022-01-10 08:00:00,1.43
12,2022-01-11 04:00:00,up,41297.15,10,37167.43,41497.15,Win,2022-01-11 04:00:00,1.45
13,2022-01-11 18:00:00,down,41984.79,10,46183.27,41784.79,Win,2022-01-11 18:00:00,1.43
14,2022-01-12 20:00:00,up,42935.92,10,38642.33,43135.92,Win,2022-01-12 20:00:00,1.4
15,2022-01-15 20:00:00,down,43017.59,10,47319.35,42817.59,Win,2022-01-15 20:00:00,1.39
16,2022-01-15 23:00:00,up,43186.47,10,38867.82,43386.47,Win,2022-01-15 23:00:00,1.39
17,2022-01-16 22:00:00,up,43129.54,10,38816.59,43329.54,Win,2022-01-16 22:00:00,1.39
18,2022-01-17 03:00:00,down,43066.79,10,47373.47,42866.79,Win,2022-01-17 03:00:00,1.39
19,2022-01-18 09:00:00,up,42361.8,10,38125.62,42561.8,Win,2022-01-19 06:00:00,1.42
20,2022-01-18 16:00:00,down,42065.42,10,46271.96,41865.42,Win,2022-01-18 16:00:00,1.43
21,2022-01-19 14:00:00,down,41765.99,10,45942.59,41565.99,Win,2022-01-19 15:00:00,1.44
22,2022-01-19 20:00:00,up,42033.0,10,37829.7,42233.0,Win,2022-01-19 20:00:00,1.43
23,2022-01-20 04:00:00,down,41872.45,10,46059.69,41672.45,Win,2022-01-20 04:00:00,1.43
24,2022-01-20 11:00:00,up,41983.26,10,37784.93,42183.26,Win,2022-01-20 19:00:00,1.43
25,2022-01-22 00:00:00,up,38857.24,10,34971.52,39057.24,Win,2022-01-22 00:00:00,1.54
26,2022-01-22 05:00:00,down,38350.62,10,42185.68,38150.62,Win,2022-01-22 05:00:00,1.56
27,2022-01-24 02:00:00,down,35332.59,10,38865.85,35132.59,Win,2022-01-24 02:00:00,1.7
28,2022-01-24 06:00:00,up,35346.15,10,31811.53,35546.15,Win,2022-01-24 07:00:00,1.7
29,2022-01-24 12:00:00,down,35338.25,10,38872.07,35138.25,Win,2022-01-24 12:00:00,1.7
30,2022-01-25 01:00:00,up,34417.75,10,30975.97,34617.75,Win,2022-01-25 01:00:00,1.74
