,index,Open Time,open,high,low,close,Close Time,EMA,RSI
0,898,2020-02-01,9351.71,9464.53,9281.0,9384.61,2020-02-01 23:59:59.999000064,8243.84,67.42
1,899,2020-02-02,9384.41,9477.03,9120.0,9331.51,2020-02-02 23:59:59.999000064,8274.47,65.58
2,900,2020-02-03,9331.59,9618.79,9234.0,9292.24,2020-02-03 23:59:59.999000064,8303.14,64.16
3,901,2020-02-04,9291.35,9350.0,9093.01,9197.02,2020-02-04 23:59:59.999000064,8328.32,60.7
4,902,2020-02-05,9197.02,9744.45,9177.22,9612.04,2020-02-05 23:59:59.999000064,8364.48,68.73
5,903,2020-02-06,9612.03,9862.57,9526.35,9772.0,2020-02-06 23:59:59.999000064,8404.13,71.2
6,904,2020-02-07,9772.0,9885.0,9730.0,9813.73,2020-02-07 23:59:59.999000064,8443.84,71.83
7,905,2020-02-08,9813.87,9940.0,9667.11,9895.05,2020-02-08 23:59:59.999000064,8484.72,73.09
8,906,2020-02-09,9895.04,10166.0,9880.75,10151.75,2020-02-09 23:59:59.999000064,8531.68,76.68
9,907,2020-02-10,10151.72,10188.0,9756.0,9851.83,2020-02-10 23:59:59.999000064,8568.86,65.54
10,908,2020-02-11,9851.74,10323.59,9700.0,10223.08,2020-02-11 23:59:59.999000064,8615.46,71.19
11,909,2020-02-12,10223.08,10450.0,10223.08,10326.46,2020-02-12 23:59:59.999000064,8663.66,72.56
12,910,2020-02-13,10325.33,10500.0,10080.0,10229.63,2020-02-13 23:59:59.999000064,8707.77,69.2
13,911,2020-02-14,10227.78,10381.56,10111.37,10344.36,2020-02-14 23:59:59.999000064,8753.87,70.94
14,912,2020-02-15,10344.36,10375.0,9801.0,9904.72,2020-02-15 23:59:59.999000064,8786.29,57.4
15,913,2020-02-16,9904.46,10050.0,9638.12,9917.27,2020-02-16 23:59:59.999000064,8818.15,57.65
16,914,2020-02-17,9910.7,9964.16,9452.67,9706.0,2020-02-17 23:59:59.999000064,8843.16,52.01
17,915,2020-02-18,9706.0,10250.0,9576.01,10164.71,2020-02-18 23:59:59.999000064,8880.39,61.04
18,916,2020-02-19,10164.78,10250.0,9350.0,9593.79,2020-02-19 23:59:59.999000064,8900.48,48.62
19,917,2020-02-20,9594.65,9699.0,9400.0,9596.42,2020-02-20 23:59:59.999000064,8920.09,48.67
20,918,2020-02-21,9597.21,9755.51,9550.21,9677.05,2020-02-21 23:59:59.999000064,8941.41,50.37
21,919,2020-02-22,9677.05,9709.17,9560.02,9650.86,2020-02-22 23:59:59.999000064,8961.39,49.78
22,920,2020-02-23,9650.85,9990.0,9645.0,9936.4,2020-02-23 23:59:59.999000064,8988.86,55.86
23,921,2020-02-24,9936.4,9990.0,9473.56,9656.13,2020-02-24 23:59:59.999000064,9007.65,49.45
24,922,2020-02-25,9655.52,9675.0,9250.0,9315.84,2020-02-25 23:59:59.999000064,9016.34,42.93
25,923,2020-02-26,9316.48,9377.44,8633.63,8785.25,2020-02-26 23:59:59.999000064,9009.83,35.07
26,924,2020-02-27,8786.0,8971.77,8531.0,8823.21,2020-02-27 23:59:59.999000064,9004.57,35.98
27,925,2020-02-28,8823.25,8900.0,8445.0,8692.91,2020-02-28 23:59:59.999000064,8995.79,34.18
28,926,2020-02-29,8690.8,8790.0,8523.55,8523.61,2020-02-29 23:59:59.999000064,8982.49,31.91
29,927,2020-03-01,8523.61,8750.0,8411.0,8531.88,2020-03-01 23:59:59.999000064,8969.8,32.15
30,928,2020-03-02,8530.3,8965.75,8498.0,8915.24,2020-03-02 23:59:59.999000064,8968.26,42.41
31,929,2020-03-03,8911.18,8919.65,8651.0,8760.07,2020-03-03 23:59:59.999000064,8962.4,39.76
32,930,2020-03-04,8760.07,8848.29,8660.0,8750.87,2020-03-04 23:59:59.999000064,8956.44,39.6
33,931,2020-03-05,8750.99,9159.42,8746.54,9054.68,2020-03-05 23:59:59.999000064,8959.2,47.26
34,932,2020-03-06,9054.64,9170.0,8985.5,9131.88,2020-03-06 23:59:59.999000064,8964.07,49.05
35,933,2020-03-07,9130.89,9188.0,8835.0,8886.66,2020-03-07 23:59:59.999000064,8961.89,43.88
36,934,2020-03-08,8885.25,8886.76,8000.0,8033.31,2020-03-08 23:59:59.999000064,8935.73,31.35
37,935,2020-03-09,8034.76,8179.31,7632.01,7929.87,2020-03-09 23:59:59.999000064,8907.4,30.21
38,936,2020-03-10,7929.87,8149.0,7728.01,7894.56,2020-03-10 23:59:59.999000064,8878.87,29.8
39,937,2020-03-11,7894.57,7980.0,7590.0,7934.52,2020-03-11 23:59:59.999000064,8852.26,30.94
40,938,2020-03-12,7934.58,7966.17,4410.0,4800.0,2020-03-12 23:59:59.999000064,8738.12,12.95
41,939,2020-03-13,4800.01,5955.0,3782.13,5578.6,2020-03-13 23:59:59.999000064,8649.12,24.8
42,940,2020-03-14,5576.05,5640.52,5055.13,5172.06,2020-03-14 23:59:59.999000064,8551.17,23.01
