,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,klines_EMA,RSI,space 1,order_entry_time,order_entry_direction,order_price,order_buy,order_quantity,order_profit,order_liquidation,space 2,Long Result,Short Result,Property
0,2020-02-01 00:00:00,9351.71,9464.53,9281.0,9384.61,8243.84,67.42,,,,,2500.0,,,,,,,10000.0
0,2020-02-02 00:00:00,9384.41,9477.03,9120.0,9331.51,8274.47,65.58,,,,,2500.0,,,,,,,10000.0
0,2020-02-03 00:00:00,9331.59,9618.79,9234.0,9292.24,8303.14,64.16,,,,,2500.0,,,,,,,10000.0
0,2020-02-04 00:00:00,9291.35,9350.0,9093.01,9197.02,8328.32,60.7,,,,,2500.0,,,,,,,10000.0
0,2020-02-05 00:00:00,9197.02,9744.45,9177.22,9612.04,8364.48,68.73,,,,,2500.0,,,,,,,10000.0
0,2020-02-06 00:00:00,9612.03,9862.57,9526.35,9772.0,8404.13,71.2,,,,,2500.0,,,,,,,10000.0
0,2020-02-07 00:00:00,9772.0,9885.0,9730.0,9813.73,8443.84,71.83,,,,,2500.0,,,,,,,10000.0
0,2020-02-08 00:00:00,9813.87,9940.0,9667.11,9895.05,8484.72,73.09,,,,,2500.0,,,,,,,10000.0
0,2020-02-09 00:00:00,9895.04,10166.0,9880.75,10151.75,8531.68,76.68,,,,,2500.0,,,,,,,10000.0
0,2020-02-10 00:00:00,10151.72,10188.0,9756.0,9851.83,8568.86,65.54,,,,,2500.0,,,,,,,10000.0
0,2020-02-11 00:00:00,9851.74,10323.59,9700.0,10223.08,8615.46,71.19,,,,,2500.0,,,,,,,10000.0
0,2020-02-12 00:00:00,10223.08,10450.0,10223.08,10326.46,8663.66,72.56,,,,,2500.0,,,,,,,10000.0
0,2020-02-13 00:00:00,10325.33,10500.0,10080.0,10229.63,8707.77,69.2,,,,,2500.0,,,,,,,10000.0
0,2020-02-14 00:00:00,10227.78,10381.56,10111.37,10344.36,8753.87,70.94,,,,,2500.0,,,,,,,10000.0
0,2020-02-15 00:00:00,10344.36,10375.0,9801.0,9904.72,8786.29,57.4,,,,,2500.0,,,,,,,10000.0
0,2020-02-16 00:00:00,9904.46,10050.0,9638.12,9917.27,8818.15,57.65,,,,,2500.0,,,,,,,10000.0
0,2020-02-17 00:00:00,9910.7,9964.16,9452.67,9706.0,8843.16,52.01,,,,,2500.0,,,,,,,10000.0
0,2020-02-18 00:00:00,9706.0,10250.0,9576.01,10164.71,8880.39,61.04,,,,,2500.0,,,,,,,10000.0
0,2020-02-19 00:00:00,10164.78,10250.0,9350.0,9593.79,8900.48,48.62,,,,,2500.0,,,,,,,10000.0
0,2020-02-20 00:00:00,9594.65,9699.0,9400.0,9596.42,8920.09,48.67,,,,,2500.0,,,,,,,10000.0
0,2020-02-21 00:00:00,9597.21,9755.51,9550.21,9677.05,8941.41,50.37,,,,,2500.0,,,,,,,10000.0
0,2020-02-22 00:00:00,9677.05,9709.17,9560.02,9650.86,8961.39,49.78,,,,,2500.0,,,,,,,10000.0
0,2020-02-23 00:00:00,9650.85,9990.0,9645.0,9936.4,8988.86,55.86,,,,,2500.0,,,,,,,10000.0
0,2020-02-24 00:00:00,9936.4,9990.0,9473.56,9656.13,9007.65,49.45,,,,,2500.0,,,,,,,10000.0
0,2020-02-25 00:00:00,9655.52,9675.0,9250.0,9315.84,9016.34,42.93,,,,,2500.0,,,,,,,10000.0
0,2020-02-26 00:00:00,9316.48,9377.44,8633.63,8785.25,9009.83,35.07,,,,,2500.0,,,,,,,10000.0
0,2020-02-27 00:00:00,8786.0,8971.77,8531.0,8823.21,9004.57,35.98,,,,,2500.0,,,,,,,10000.0
0,2020-02-28 00:00:00,8823.25,8900.0,8445.0,8692.91,8995.79,34.18,,,,,2500.0,,,,,,,10000.0
0,2020-02-29 00:00:00,8690.8,8790.0,8523.55,8523.61,8982.49,31.91,,,,,2500.0,,,,,,,10000.0
0,2020-03-01 00:00:00,8523.61,8750.0,8411.0,8531.88,8969.8,32.15,,,,,2500.0,,,,,,,10000.0
