交易 #,種類,信號,日期/時間,價格 USDT,合約,獲利 USDT,獲利 %,累計獲利 USDT,累計獲利 %,最大交易獲利 USDT,最大交易獲利 %,最大交易虧損 USDT,最大交易虧損 %
935,多頭出場,開盤價,,,,,,,,,,,
935,多頭進場,MacdLE,2023-06-10 18:00,26022.34,,,,,,,,,
934,空頭出場,MacdLE,2023-06-10 18:00,26022.34,0.07553,33.97,1.7,-624.81,0.36,81.17,4.06,4.47,0.22
934,空頭進場,MacdSE,2023-06-09 16:00,26477.36,0.07553,33.97,1.7,-624.81,0.36,81.17,4.06,4.47,0.22
933,多頭出場,MacdSE,2023-06-09 16:00,26477.36,0.07506,-12.79,-0.64,-658.78,-0.14,10.38,0.52,14.43,0.72
933,多頭進場,MacdLE,2023-06-09 09:00,26642.38,0.07506,-12.79,-0.64,-658.78,-0.14,10.38,0.52,14.43,0.72
932,空頭出場,MacdLE,2023-06-09 09:00,26642.38,0.07559,-14.42,-0.72,-645.99,-0.15,13.94,0.7,14.79,0.74
932,空頭進場,MacdSE,2023-06-09 01:00,26456.95,0.07559,-14.42,-0.72,-645.99,-0.15,13.94,0.7,14.79,0.74
931,多頭出場,MacdSE,2023-06-09 01:00,26456.95,0.07562,0.53,0.03,-631.58,0.01,27.43,1.37,11.14,0.56
931,多頭進場,MacdLE,2023-06-08 08:00,26444.68,0.07562,0.53,0.03,-631.58,0.01,27.43,1.37,11.14,0.56
930,空頭出場,MacdLE,2023-06-08 08:00,26444.68,0.07454,28.27,1.41,-632.10,0.3,52.30,2.62,10.54,0.53
930,空頭進場,MacdSE,2023-06-07 07:00,26829.30,0.07454,28.27,1.41,-632.10,0.3,52.30,2.62,10.54,0.53
929,多頭出場,MacdSE,2023-06-07 07:00,26829.30,0.07772,84.96,4.25,-660.38,0.92,128.89,6.45,29.72,1.49
929,多頭進場,MacdLE,2023-06-06 04:00,25730.83,0.07772,84.96,4.25,-660.38,0.92,128.89,6.45,29.72,1.49
928,空頭出場,MacdLE,2023-06-06 04:00,25730.83,0.07375,101.71,5.09,-745.34,1.11,127.18,6.36,1.24,0.06
928,空頭進場,MacdSE,2023-06-05 00:00,27115.20,0.07375,101.71,5.09,-745.34,1.11,127.18,6.36,1.24,0.06
927,多頭出場,MacdSE,2023-06-05 00:00,27115.20,0.07366,-3.00,-0.15,-847.05,-0.03,22.23,1.11,8.07,0.4
927,多頭進場,MacdLE,2023-06-04 08:00,27150.46,0.07366,-3.00,-0.15,-847.05,-0.03,22.23,1.11,8.07,0.4
926,空頭出場,MacdLE,2023-06-04 08:00,27150.46,0.07367,-0.62,-0.03,-844.05,-0.01,16.93,0.85,1.42,0.07
926,空頭進場,MacdSE,2023-06-03 19:00,27147.44,0.07367,-0.62,-0.03,-844.05,-0.01,16.93,0.85,1.42,0.07
925,多頭出場,MacdSE,2023-06-03 19:00,27147.44,0.07324,-11.96,-0.6,-843.43,-0.13,0.78,0.04,14.37,0.72
925,多頭進場,MacdLE,2023-06-03 16:00,27305.27,0.07324,-11.96,-0.6,-843.43,-0.13,0.78,0.04,14.37,0.72
924,空頭出場,MacdLE,2023-06-03 16:00,27305.27,0.07365,-11.60,-0.58,-831.47,-0.13,3.30,0.17,13.46,0.67
924,空頭進場,MacdSE,2023-06-03 03:00,27153.26,0.07365,-11.60,-0.58,-831.47,-0.13,3.30,0.17,13.46,0.67
923,多頭出場,MacdSE,2023-06-03 03:00,27153.26,0.07381,3.83,0.19,-819.87,0.04,14.86,0.74,6.82,0.34
923,多頭進場,MacdLE,2023-06-02 16:00,27095.93,0.07381,3.83,0.19,-819.87,0.04,14.86,0.74,6.82,0.34
922,空頭出場,MacdLE,2023-06-02 16:00,27095.93,0.07417,-10.13,-0.51,-823.70,-0.11,0,0,10.78,0.54
922,空頭進場,MacdSE,2023-06-02 15:00,26964.75,0.07417,-10.13,-0.51,-823.70,-0.11,0,0,10.78,0.54
921,多頭出場,MacdSE,2023-06-02 15:00,26964.75,0.07431,3.48,0.17,-813.57,0.04,24.13,1.21,30.48,1.52
921,多頭進場,MacdLE,2023-06-01 09:00,26912.54,0.07431,3.48,0.17,-813.57,0.04,24.13,1.21,30.48,1.52
920,空頭出場,MacdLE,2023-06-01 09:00,26912.54,0.07468,-10.30,-0.52,-817.05,-0.11,2.33,0.12,10.87,0.54
920,空頭進場,MacdSE,2023-06-01 04:00,26779.93,0.07468,-10.30,-0.52,-817.05,-0.11,2.33,0.12,10.87,0.54
919,多頭出場,MacdSE,2023-06-01 04:00,26779.93,0.07404,-17.47,-0.87,-806.75,-0.19,24.93,1.25,30.22,1.51
919,多頭進場,MacdLE,2023-05-31 20:00,27010.57,0.07404,-17.47,-0.87,-806.75,-0.19,24.93,1.25,30.22,1.51
918,空頭出場,MacdLE,2023-05-31 20:00,27010.57,0.0724,43.92,2.2,-789.27,0.48,56.54,2.83,17.59,0.88
918,空頭進場,MacdSE,2023-05-30 15:00,27622.65,0.0724,43.92,2.2,-789.27,0.48,56.54,2.83,17.59,0.88
917,多頭出場,MacdSE,2023-05-30 15:00,27622.65,0.0718,-16.89,-0.84,-833.19,-0.18,13.17,0.66,16.81,0.84
917,多頭進場,MacdLE,2023-05-30 10:00,27852.34,0.0718,-16.89,-0.84,-833.19,-0.18,13.17,0.66,16.81,0.84
916,空頭出場,MacdLE,2023-05-30 10:00,27852.34,0.07166,3.58,0.18,-816.30,0.04,27.26,1.36,4.73,0.24
916,空頭進場,MacdSE,2023-05-29 08:00,27907.86,0.07166,3.58,0.18,-816.30,0.04,27.26,1.36,4.73,0.24
915,多頭出場,MacdSE,2023-05-29 08:00,27907.86,0.07312,40.27,2.01,-819.88,0.44,79.91,4,2.91,0.15
915,多頭進場,MacdLE,2023-05-28 18:00,27351.59,0.07312,40.27,2.01,-819.88,0.44,79.91,4,2.91,0.15
914,空頭出場,MacdLE,2023-05-28 18:00,27351.59,0.07368,-15.81,-0.79,-860.15,-0.17,0.37,0.02,20.97,1.05
914,空頭進場,MacdSE,2023-05-28 13:00,27142.49,0.07368,-15.81,-0.79,-860.15,-0.17,0.37,0.02,20.97,1.05
913,多頭出場,MacdSE,2023-05-28 13:00,27142.49,0.0747,27.33,1.37,-844.34,0.3,42.60,2.13,0.90,0.05
913,多頭進場,MacdLE,2023-05-27 22:00,26771.28,0.0747,27.33,1.37,-844.34,0.3,42.60,2.13,0.90,0.05
912,空頭出場,MacdLE,2023-05-27 22:00,26771.28,0.07504,-9.36,-0.47,-871.67,-0.1,7.37,0.37,14.76,0.74
912,空頭進場,MacdSE,2023-05-27 01:00,26651.93,0.07504,-9.36,-0.47,-871.67,-0.1,7.37,0.37,14.76,0.74
911,多頭出場,MacdSE,2023-05-27 01:00,26651.93,0.07638,35.36,1.77,-862.31,0.39,56.97,2.85,4.55,0.23
