,Open Time,open,high,low,close,Close Time,DIF,DEA,MACD,EMA,RSI,BBL_70_1.3,BBM_70_1.3,BBU_70_1.3,BBB_70_1.3,BBP_70_1.3
0,2022-02-13 08:00:00,42217.87,42760.0,41870.0,42053.66,2022-02-14 07:59:59.999000064,,,,,,,,,,
1,2022-02-14 08:00:00,42053.65,42842.4,41550.56,42535.94,2022-02-15 07:59:59.999000064,,,,,,,,,,
2,2022-02-15 08:00:00,42535.94,44751.4,42427.03,44544.86,2022-02-16 07:59:59.999000064,,,,,,,,,,
3,2022-02-16 08:00:00,44544.85,44549.97,43307.0,43873.56,2022-02-17 07:59:59.999000064,,,,,,,,,,
4,2022-02-17 08:00:00,43873.56,44164.71,40073.21,40515.7,2022-02-18 07:59:59.999000064,,,,,,,,,,
5,2022-02-18 08:00:00,40515.71,40959.88,39450.0,39974.44,2022-02-19 07:59:59.999000064,,,,,,,,,,
6,2022-02-19 08:00:00,39974.45,40444.32,39639.03,40079.17,2022-02-20 07:59:59.999000064,,,,,,,,,,
7,2022-02-20 08:00:00,40079.17,40125.44,38000.0,38386.89,2022-02-21 07:59:59.999000064,,,,,,,,,,
8,2022-02-21 08:00:00,38386.89,39494.35,36800.0,37008.16,2022-02-22 07:59:59.999000064,,,,,,,,,,
9,2022-02-22 08:00:00,37008.16,38429.0,36350.0,38230.33,2022-02-23 07:59:59.999000064,,,,,,,,,,
10,2022-02-23 08:00:00,38230.33,39249.93,37036.79,37250.01,2022-02-24 07:59:59.999000064,,,,,,,,,,
11,2022-02-24 08:00:00,37250.02,39843.0,34322.28,38327.21,2022-02-25 07:59:59.999000064,,,,,,,,,,
12,2022-02-25 08:00:00,38328.68,39683.53,38014.37,39219.17,2022-02-26 07:59:59.999000064,,,,,35.79,,,,,
13,2022-02-26 08:00:00,39219.16,40348.45,38573.18,39116.72,2022-02-27 07:59:59.999000064,,,,,40.04,,,,,
14,2022-02-27 08:00:00,39116.73,39855.7,37000.0,37699.07,2022-02-28 07:59:59.999000064,,,,,39.71,,,,,
15,2022-02-28 08:00:00,37699.08,44225.84,37450.17,43160.0,2022-03-01 07:59:59.999000064,,,,,35.32,,,,,
16,2022-03-01 08:00:00,43160.0,44949.0,42809.98,44421.2,2022-03-02 07:59:59.999000064,,,,,55.86,,,,,
17,2022-03-02 08:00:00,44421.2,45400.0,43334.09,43892.98,2022-03-03 07:59:59.999000064,,,,,59.13,,,,,
18,2022-03-03 08:00:00,43892.99,44101.12,41832.28,42454.0,2022-03-04 07:59:59.999000064,,,,,57.19,,,,,
