,開倉時間,方向,開倉價格,槓桿倍數,爆倉價格,掛單價格,結果,平倉時間,獲利金額
0,2022-01-03 00:00:00,up,47340.47,10,42606.42,47540.47,Win,2022-01-03 00:00:00,1.27
1,2022-01-03 02:00:00,down,47401.14,10,52141.25,47201.14,Win,2022-01-03 02:00:00,1.27
2,2022-01-03 18:00:00,up,46984.56,10,42286.1,47184.56,Win,2022-01-03 18:00:00,1.28
3,2022-01-03 23:00:00,down,46874.53,10,51561.98,46674.53,Win,2022-01-03 23:00:00,1.28
4,2022-01-04 14:00:00,up,46148.23,10,41533.41,46348.23,Win,2022-01-04 14:00:00,1.3
5,2022-01-05 02:00:00,down,46555.0,10,51210.5,46355.0,Win,2022-01-05 02:00:00,1.29
6,2022-01-05 11:00:00,up,46296.96,10,41667.26,46496.96,Win,2022-01-05 11:00:00,1.3
7,2022-01-06 01:00:00,down,46301.62,10,50931.78,46101.62,Win,2022-01-06 01:00:00,1.3
8,2022-01-06 19:00:00,up,42878.87,10,38590.98,43078.87,Win,2022-01-06 21:00:00,1.4
9,2022-01-07 12:00:00,down,41803.11,10,45983.42,41603.11,Win,2022-01-07 12:00:00,1.44
10,2022-01-07 17:00:00,up,42088.61,10,37879.75,42288.61,Win,2022-01-07 17:00:00,1.43
11,2022-01-07 23:00:00,down,41894.4,10,46083.84,41694.4,Win,2022-01-07 23:00:00,1.43
12,2022-01-08 00:00:00,up,41310.85,10,37179.76,41510.85,Win,2022-01-08 00:00:00,1.45
13,2022-01-09 00:00:00,down,41609.6,10,45770.56,41409.6,Win,2022-01-09 00:00:00,1.44
14,2022-01-09 06:00:00,up,41769.03,10,37592.13,41969.03,Win,2022-01-09 06:00:00,1.44
15,2022-01-09 21:00:00,down,41746.98,10,45921.68,41546.98,Win,2022-01-09 21:00:00,1.44
16,2022-01-10 00:00:00,up,41621.11,10,37459.0,41821.11,Win,2022-01-10 00:00:00,1.44
17,2022-01-10 08:00:00,down,41864.62,10,46051.08,41664.62,Win,2022-01-10 08:00:00,1.43
18,2022-01-11 04:00:00,up,41297.15,10,37167.43,41497.15,Win,2022-01-11 04:00:00,1.45
19,2022-01-11 18:00:00,down,41984.79,10,46183.27,41784.79,Win,2022-01-11 18:00:00,1.43
20,2022-01-12 00:00:00,up,41733.92,10,37560.53,41933.92,Win,2022-01-12 00:00:00,1.44
21,2022-01-12 11:00:00,down,42559.34,10,46815.27,42359.34,Win,2022-01-14 04:00:00,1.41
22,2022-01-12 20:00:00,up,42935.92,10,38642.33,43135.92,Win,2022-01-12 20:00:00,1.4
23,2022-01-13 08:00:00,down,43902.65,10,48292.92,43702.65,Win,2022-01-13 08:00:00,1.37
24,2022-01-14 22:00:00,up,42165.01,10,37948.51,42365.01,Win,2022-01-14 22:00:00,1.42
25,2022-01-15 20:00:00,down,43017.59,10,47319.35,42817.59,Win,2022-01-15 20:00:00,1.39
26,2022-01-15 23:00:00,up,43186.47,10,38867.82,43386.47,Win,2022-01-15 23:00:00,1.39
