,klines_open_time,klines_open_price,klines_high_price,klines_low_price,klines_close_price,space 1,order_entry_time,order_entry_direction,order_price,order_quantity,space 2,long_position_entry_time,long_position_entry_direction,long_position_price,long_position_quantity,long_position_afford_range,long_position_liquidation,space 3,short_position_entry_time,short_position_entry_direction,short_position_price,short_position_quantity,short_position_afford_range,short_position_liquidation,LONG_Result,SHORT_Result,Property
0,2022-06-01 00:00:00,31801.05,31982.97,31614.01,31627.3,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2022-06-01 04:00:00,31627.29,31670.0,31371.45,31482.43,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2022-06-01 08:00:00,31482.42,31709.99,31444.0,31609.16,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2022-06-01 12:00:00,31609.15,31901.34,30600.0,30742.59,,,,,,,,,,,,,,,,,,,,,,8000.0
0,2022-06-01 16:00:00,30742.59,30744.19,29901.29,30126.72,,2022-06-01 16:00:00,空頭進場,30742.59,0.364,,,,,,,,,2022-06-01 16:00:00,空頭進場,30742.59,0.364,29425.050428571427,32938.49,,,7200.69266
0,2022-06-01 20:00:00,30126.71,30162.44,29301.0,29805.83,,,,,,,,,,,,,,2022-06-01 16:00:00,空頭進場,30742.59,0.364,29425.050428571427,32938.49,,SHORT Win,8479.584404000001
0,2022-06-02 00:00:00,29805.84,29903.74,29594.55,29730.12,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-02 04:00:00,29730.12,30123.35,29650.93,29968.26,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-02 08:00:00,29968.27,30210.18,29865.0,30173.67,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-02 12:00:00,30173.66,30387.84,29597.01,30212.73,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-02 16:00:00,30212.73,30408.54,29977.45,30293.01,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-02 20:00:00,30293.0,30689.0,30235.7,30452.62,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-03 00:00:00,30452.63,30699.0,30359.54,30529.96,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-03 04:00:00,30529.96,30561.32,30282.29,30443.74,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-03 08:00:00,30443.7,30529.07,29680.0,29758.19,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
0,2022-06-03 12:00:00,29758.2,29889.49,29282.36,29506.24,,,,,,,,,,,,,,,,,,,,,,8479.584404000001
