交易 #,種類,信號,日期/時間,價格 USDT,合約,獲利 USDT,獲利 %,累計獲利 USDT,累計獲利 %,最大交易獲利 USDT,最大交易獲利 %,最大交易虧損 USDT,最大交易虧損 %
146,空頭出場,開盤價,,,,,,,,,,,
146,空頭進場,MacdSE,2023-06-08,26339.34,,,,,,,,,
145,多頭出場,MacdSE,2023-06-08,26339.34,0.07344,-65.81,-3.29,8139.73,-0.36,11.68,0.58,81.36,4.07
145,多頭進場,MacdLE,2023-06-07,27230.07,0.07344,-65.81,-3.29,8139.73,-0.36,11.68,0.58,81.36,4.07
144,空頭出場,MacdLE,2023-06-07,27230.07,0.07773,-117.15,-5.86,8205.54,-0.64,29.12,1.46,126.68,6.33
144,空頭進場,MacdSE,2023-06-06,25728.20,0.07773,-117.15,-5.86,8205.54,-0.64,29.12,1.46,126.68,6.33
143,多頭出場,MacdSE,2023-06-06,25728.20,0.07447,-84.25,-4.21,8322.69,-0.46,118.42,5.92,109.39,5.47
143,多頭進場,MacdLE,2023-05-28,26854.28,0.07447,-84.25,-4.21,8322.69,-0.46,118.42,5.92,109.39,5.47
142,空頭出場,MacdLE,2023-05-28,26854.28,0.06795,174.66,8.73,8406.94,0.96,245.70,12.29,71.87,3.59
142,空頭進場,MacdSE,2023-04-18,29430.27,0.06795,174.66,8.73,8406.94,0.96,245.70,12.29,71.87,3.59
141,多頭出場,MacdSE,2023-04-18,29430.27,0.06622,-51.39,-2.57,8232.29,-0.28,52.75,2.64,63.76,3.19
141,多頭進場,MacdLE,2023-04-12,30200.43,0.06622,-51.39,-2.57,8232.29,-0.28,52.75,2.64,63.76,3.19
140,空頭出場,MacdLE,2023-04-12,30200.43,0.07099,-144.42,-7.22,8283.68,-0.78,68.78,3.44,169.02,8.45
140,空頭進場,MacdSE,2023-04-03,28171.87,0.07099,-144.42,-7.22,8283.68,-0.78,68.78,3.44,169.02,8.45
139,多頭出場,MacdSE,2023-04-03,28171.87,0.08106,283.40,14.17,8428.10,1.56,365.73,18.29,62.90,3.15
139,多頭進場,MacdLE,2023-03-15,24670.41,0.08106,283.40,14.17,8428.10,1.56,365.73,18.29,62.90,3.15
138,空頭出場,MacdLE,2023-03-15,24670.41,0.08626,-128.63,-6.43,8144.70,-0.7,313.35,15.67,276.48,13.82
138,空頭進場,MacdSE,2023-02-25,23184.04,0.08626,-128.63,-6.43,8144.70,-0.7,313.35,15.67,276.48,13.82
137,多頭出場,MacdSE,2023-02-25,23184.04,0.0814,-113.06,-5.65,8273.33,-0.61,55.30,2.76,140.78,7.04
137,多頭進場,MacdLE,2023-02-18,24568.24,0.0814,-113.06,-5.65,8273.33,-0.61,55.30,2.76,140.78,7.04
136,空頭出場,MacdLE,2023-02-18,24568.24,0.08761,-152.93,-7.65,8386.39,-0.82,129.14,6.46,212.45,10.62
136,空頭進場,MacdSE,2023-01-31,22827.38,0.08761,-152.93,-7.65,8386.39,-0.82,129.14,6.46,212.45,10.62
135,多頭出場,MacdSE,2023-01-31,22827.38,0.11993,737.30,36.87,8539.32,4.14,873.48,43.68,2.96,0.15
135,多頭進場,MacdLE,2023-01-04,16675.65,0.11993,737.30,36.87,8539.32,4.14,873.48,43.68,2.96,0.15
134,空頭出場,MacdLE,2023-01-04,16675.65,0.12086,-15.91,-0.8,7802.02,-0.09,25.70,1.29,30.65,1.53
134,空頭進場,MacdSE,2022-12-29,16547.32,0.12086,-15.91,-0.8,7802.02,-0.09,25.70,1.29,30.65,1.53
133,多頭出場,MacdSE,2022-12-29,16547.32,0.1182,-44.37,-2.22,7817.93,-0.25,6.12,0.31,53.87,2.69
133,多頭進場,MacdLE,2022-12-27,16919.39,0.1182,-44.37,-2.22,7817.93,-0.25,6.12,0.31,53.87,2.69
132,空頭出場,MacdLE,2022-12-27,16919.39,0.12166,-58.86,-2.94,7862.31,-0.33,4.87,0.24,75.92,3.8
132,空頭進場,MacdSE,2022-12-20,16438.88,0.12166,-58.86,-2.94,7862.31,-0.33,4.87,0.24,75.92,3.8
131,多頭出場,MacdSE,2022-12-20,16438.88,0.12048,-19.76,-0.99,7921.17,-0.11,215.27,10.76,73.00,3.65
131,多頭進場,MacdLE,2022-11-25,16599.55,0.12048,-19.76,-0.99,7921.17,-0.11,215.27,10.76,73.00,3.65
130,空頭出場,MacdLE,2022-11-25,16599.55,0.10783,209.44,10.47,7940.93,1.18,330.77,16.54,4.77,0.24
130,空頭進場,MacdSE,2022-11-09,18545.38,0.10783,209.44,10.47,7940.93,1.18,330.77,16.54,4.77,0.24
129,多頭出場,MacdSE,2022-11-09,18545.38,0.10382,-74.89,-3.74,7731.49,-0.42,230.04,11.5,217.82,10.89
129,多頭進場,MacdLE,2022-10-17,19262.98,0.10382,-74.89,-3.74,7731.49,-0.42,230.04,11.5,217.82,10.89
128,空頭出場,MacdLE,2022-10-17,19262.98,0.10488,-20.81,-1.04,7806.38,-0.12,0.29,0.01,37.69,1.88
128,空頭進場,MacdSE,2022-10-16,19068.40,0.10488,-20.81,-1.04,7806.38,-0.12,0.29,0.01,37.69,1.88
127,多頭出場,MacdSE,2022-10-16,19068.40,0.10322,-32.10,-1.61,7827.19,-0.18,59.28,2.96,41.53,2.08
127,多頭進場,MacdLE,2022-10-14,19375.58,0.10322,-32.10,-1.61,7827.19,-0.18,59.28,2.96,41.53,2.08
126,空頭出場,MacdLE,2022-10-14,19375.58,0.1044,-23.42,-1.17,7859.29,-0.13,100.56,5.03,37.65,1.88
126,空頭進場,MacdSE,2022-10-13,19155.10,0.1044,-23.42,-1.17,7859.29,-0.13,100.56,5.03,37.65,1.88
125,多頭出場,MacdSE,2022-10-13,19155.10,0.10302,-26.95,-1.35,7882.71,-0.15,109.23,5.46,58.90,2.95
125,多頭進場,MacdLE,2022-09-29,19412.82,0.10302,-26.95,-1.35,7882.71,-0.15,109.23,5.46,58.90,2.95
124,空頭出場,MacdLE,2022-09-29,19412.82,0.103,0.08,0,7909.66,0,132.82,6.64,99.95,5
124,空頭進場,MacdSE,2022-09-19,19417.45,0.103,0.08,0,7909.66,0,132.82,6.64,99.95,5
123,多頭出場,MacdSE,2022-09-19,19417.45,0.09363,-182.41,-9.12,7909.59,-1.01,134.38,6.72,191.36,9.57
123,多頭進場,MacdLE,2022-09-10,21361.62,0.09363,-182.41,-9.12,7909.59,-1.01,134.38,6.72,191.36,9.57
122,空頭出場,MacdLE,2022-09-10,21361.62,0.08568,169.35,8.47,8092.00,0.94,413.80,20.69,22.25,1.11
122,空頭進場,MacdSE,2022-08-18,23342.66,0.08568,169.35,8.47,8092.00,0.94,413.80,20.69,22.25,1.11
121,多頭出場,MacdSE,2022-08-18,23342.66,0.08399,-39.73,-1.99,7922.65,-0.22,117.41,5.87,96.48,4.82
121,多頭進場,MacdLE,2022-08-09,23810.98,0.08399,-39.73,-1.99,7922.65,-0.22,117.41,5.87,96.48,4.82
120,空頭出場,MacdLE,2022-08-09,23810.98,0.08712,-75.05,-3.75,7962.38,-0.42,9.35,0.47,112.65,5.63
120,空頭進場,MacdSE,2022-08-07,22954.21,0.08712,-75.05,-3.75,7962.38,-0.42,9.35,0.47,112.65,5.63
119,多頭出場,MacdSE,2022-08-07,22954.21,0.09306,135.74,6.79,8037.43,0.76,295.43,14.77,266.83,13.34
119,多頭進場,MacdLE,2022-06-26,21491.18,0.09306,135.74,6.79,8037.43,0.76,295.43,14.77,266.83,13.34
118,空頭出場,MacdLE,2022-06-26,21491.18,0.07526,382.21,19.11,7901.69,2.18,673.57,33.68,24.38,1.22
