交易 #,種類,信號,日期/時間,價格 USDT,合約,獲利 USDT,獲利 %,累計獲利 USDT,累計獲利 %,最大交易獲利 USDT,最大交易獲利 %,最大交易虧損 USDT,最大交易虧損 %
891,空頭出場,開盤價,,,,,,,,,,,
891,空頭進場,MacdSE,2023-06-10 08:00,25651.08,,,,,,,,,
890,多頭出場,MacdSE,2023-06-10 08:00,25651.08,0.07385,-105.92,-5.3,2570.66,-0.84,22.82,1.14,120.11,6.01
890,多頭進場,MacdLE,2023-06-06 20:00,27080.12,0.07385,-105.92,-5.3,2570.66,-0.84,22.82,1.14,120.11,6.01
889,空頭出場,MacdLE,2023-06-06 20:00,27080.12,0.0745,-18.02,-0.9,2676.59,-0.14,110.99,5.55,28.01,1.4
889,空頭進場,MacdSE,2023-06-05 04:00,26843.57,0.0745,-18.02,-0.9,2676.59,-0.14,110.99,5.55,28.01,1.4
888,多頭出場,MacdSE,2023-06-05 04:00,26843.57,0.07342,-29.43,-1.47,2694.61,-0.23,15.66,0.78,33.09,1.65
888,多頭進場,MacdLE,2023-06-02 20:00,27239.03,0.07342,-29.43,-1.47,2694.61,-0.23,15.66,0.78,33.09,1.65
887,空頭出場,MacdLE,2023-06-02 20:00,27239.03,0.07181,43.49,2.17,2724.04,0.34,96.40,4.82,0.55,0.03
887,空頭進場,MacdSE,2023-05-30 20:00,27850.21,0.07181,43.49,2.17,2724.04,0.34,96.40,4.82,0.55,0.03
886,多頭出場,MacdSE,2023-05-30 20:00,27850.21,0.07546,101.38,5.07,2680.55,0.81,146.63,7.33,11.18,0.56
886,多頭進場,MacdLE,2023-05-26 08:00,26501.34,0.07546,101.38,5.07,2680.55,0.81,146.63,7.33,11.18,0.56
885,空頭出場,MacdLE,2023-05-26 08:00,26501.34,0.07496,12.89,0.64,2579.18,0.1,60.28,3.01,12.22,0.61
885,空頭進場,MacdSE,2023-05-24 08:00,26678.67,0.07496,12.89,0.64,2579.18,0.1,60.28,3.01,12.22,0.61
884,多頭出場,MacdSE,2023-05-24 08:00,26678.67,0.07308,-50.67,-2.53,2566.28,-0.4,9.24,0.46,55.28,2.76
884,多頭進場,MacdLE,2023-05-23 04:00,27366.67,0.07308,-50.67,-2.53,2566.28,-0.4,9.24,0.46,55.28,2.76
883,空頭出場,MacdLE,2023-05-23 04:00,27366.67,0.07477,-46.68,-2.33,2616.96,-0.37,15.47,0.77,52.11,2.61
883,空頭進場,MacdSE,2023-05-22 00:00,26747.78,0.07477,-46.68,-2.33,2616.96,-0.37,15.47,0.77,52.11,2.61
882,多頭出場,MacdSE,2023-05-22 00:00,26747.78,0.0739,-23.70,-1.18,2663.63,-0.19,15.65,0.78,29.54,1.48
882,多頭進場,MacdLE,2023-05-20 20:00,27063.04,0.0739,-23.70,-1.18,2663.63,-0.19,15.65,0.78,29.54,1.48
881,空頭出場,MacdLE,2023-05-20 20:00,27063.04,0.07481,-25.02,-1.25,2687.33,-0.2,7.58,0.38,33.83,1.69
881,空頭進場,MacdSE,2023-05-18 20:00,26734.01,0.07481,-25.02,-1.25,2687.33,-0.2,7.58,0.38,33.83,1.69
880,多頭出場,MacdSE,2023-05-18 20:00,26734.01,0.07303,-47.94,-2.4,2712.35,-0.38,8.19,0.41,74.97,3.75
880,多頭進場,MacdLE,2023-05-17 20:00,27385.09,0.07303,-47.94,-2.4,2712.35,-0.38,8.19,0.41,74.97,3.75
879,空頭出場,MacdLE,2023-05-17 20:00,27385.09,0.0739,-24.42,-1.22,2760.29,-0.19,37.88,1.89,28.82,1.44
879,空頭進場,MacdSE,2023-05-17 04:00,27060.05,0.0739,-24.42,-1.22,2760.29,-0.19,37.88,1.89,28.82,1.44
878,多頭出場,MacdSE,2023-05-17 04:00,27060.05,0.0747,21.12,1.06,2784.71,0.17,66.41,3.32,15.99,0.8
878,多頭進場,MacdLE,2023-05-13 08:00,26771.87,0.0747,21.12,1.06,2784.71,0.17,66.41,3.32,15.99,0.8
877,空頭出場,MacdLE,2023-05-13 08:00,26771.87,0.07358,29.59,1.48,2763.59,0.23,100.46,5.02,3.15,0.16
877,空頭進場,MacdSE,2023-05-11 16:00,27179.43,0.07358,29.59,1.48,2763.59,0.23,100.46,5.02,3.15,0.16
876,多頭出場,MacdSE,2023-05-11 16:00,27179.43,0.07226,-36.36,-1.82,2734.00,-0.28,47.08,2.35,65.24,3.26
876,多頭進場,MacdLE,2023-05-10 12:00,27677.08,0.07226,-36.36,-1.82,2734.00,-0.28,47.08,2.35,65.24,3.26
875,空頭出場,MacdLE,2023-05-10 12:00,27677.08,0.06998,62.56,3.13,2770.35,0.49,91.80,4.59,39.51,1.98
875,空頭進場,MacdSE,2023-05-06 16:00,28576.62,0.06998,62.56,3.13,2770.35,0.49,91.80,4.59,39.51,1.98
874,多頭出場,MacdSE,2023-05-06 16:00,28576.62,0.07012,3.51,0.18,2707.80,0.03,90.89,4.54,28.75,1.44
874,多頭進場,MacdLE,2023-05-03 04:00,28520.89,0.07012,3.51,0.18,2707.80,0.03,90.89,4.54,28.75,1.44
873,空頭出場,MacdLE,2023-05-03 04:00,28520.89,0.06815,55.81,2.79,2704.29,0.44,114.20,5.71,42.72,2.14
873,空頭進場,MacdSE,2023-04-29 08:00,29345.54,0.06815,55.81,2.79,2704.29,0.44,114.20,5.71,42.72,2.14
872,多頭出場,MacdSE,2023-04-29 08:00,29345.54,0.07189,109.49,5.48,2648.49,0.87,159.33,7.97,63.03,3.15
872,多頭進場,MacdLE,2023-04-23 00:00,27816.85,0.07189,109.49,5.48,2648.49,0.87,159.33,7.97,63.03,3.15
871,空頭出場,MacdLE,2023-04-23 00:00,27816.85,0.06823,101.53,5.08,2539.00,0.82,148.93,7.45,13.12,0.66
871,空頭進場,MacdSE,2023-04-19 12:00,29310.64,0.06823,101.53,5.08,2539.00,0.82,148.93,7.45,13.12,0.66
870,多頭出場,MacdSE,2023-04-19 12:00,29310.64,0.06625,-58.31,-2.92,2437.47,-0.47,17.37,0.87,78.70,3.94
870,多頭進場,MacdLE,2023-04-18 16:00,30184.85,0.06625,-58.31,-2.92,2437.47,-0.47,17.37,0.87,78.70,3.94
869,空頭出場,MacdLE,2023-04-18 16:00,30184.85,0.06614,3.11,0.16,2495.78,0.02,75.27,3.76,23.86,1.19
869,空頭進場,MacdSE,2023-04-14 16:00,30237.88,0.06614,3.11,0.16,2495.78,0.02,75.27,3.76,23.86,1.19
868,多頭出場,MacdSE,2023-04-14 16:00,30237.88,0.06507,-32.66,-1.63,2492.67,-0.26,7.37,0.37,41.37,2.07
868,多頭進場,MacdLE,2023-04-14 08:00,30733.73,0.06507,-32.66,-1.63,2492.67,-0.26,7.37,0.37,41.37,2.07
867,空頭出場,MacdLE,2023-04-14 08:00,30733.73,0.06691,-56.99,-2.85,2525.33,-0.45,2.04,0.1,74.60,3.73
867,空頭進場,MacdSE,2023-04-13 00:00,29888.07,0.06691,-56.99,-2.85,2525.33,-0.45,2.04,0.1,74.60,3.73
