交易 #,種類,信號,日期/時間,價格 USDT,合約,獲利 USDT,獲利 %,累計獲利 USDT,累計獲利 %,最大交易獲利 USDT,最大交易獲利 %,最大交易虧損 USDT,最大交易虧損 %
1996,多頭出場,開盤價,,,,,,,,,,,
1996,多頭進場,MacdLE,2023-06-15 03:30,25060.06,,,,,,,,,
1995,空頭出場,MacdLE,2023-06-15 03:30,25060.06,1,905.81,3.49,-37014.19,0.09,1145.31,4.41,132.13,0.51
1995,空頭進場,MacdSE,2023-06-14 17:00,25965.87,1,905.81,3.49,-37014.19,0.09,1145.31,4.41,132.13,0.51
1994,多頭出場,MacdSE,2023-06-14 17:00,25965.87,1,-14.66,-0.06,-37920.00,0,104.80,0.4,53.31,0.21
1994,多頭進場,MacdLE,2023-06-14 10:00,25980.53,1,-14.66,-0.06,-37920.00,0,104.80,0.4,53.31,0.21
1993,空頭出場,MacdLE,2023-06-14 10:00,25980.53,1,-135.39,-0.52,-37905.34,-0.01,5.14,0.02,144.84,0.56
1993,空頭進場,MacdSE,2023-06-14 06:00,25845.14,1,-135.39,-0.52,-37905.34,-0.01,5.14,0.02,144.84,0.56
1992,多頭出場,MacdSE,2023-06-14 06:00,25845.14,1,-26.72,-0.1,-37769.95,0,184.13,0.71,34.73,0.13
1992,多頭進場,MacdLE,2023-06-13 23:30,25871.86,1,-26.72,-0.1,-37769.95,0,184.13,0.71,34.73,0.13
1991,空頭出場,MacdLE,2023-06-13 23:30,25871.86,1,210.43,0.81,-37743.23,0.02,369.72,1.42,61.39,0.24
1991,空頭進場,MacdSE,2023-06-13 13:00,26082.29,1,210.43,0.81,-37743.23,0.02,369.72,1.42,61.39,0.24
1990,多頭出場,MacdSE,2023-06-13 13:00,26082.29,1,202.57,0.78,-37953.66,0.02,553.49,2.14,61.65,0.24
1990,多頭進場,MacdLE,2023-06-12 20:30,25879.72,1,202.57,0.78,-37953.66,0.02,553.49,2.14,61.65,0.24
1989,空頭出場,MacdLE,2023-06-12 20:30,25879.72,1,-0.59,0,-38156.23,0,227.09,0.88,87.05,0.34
1989,空頭進場,MacdSE,2023-06-12 13:30,25879.13,1,-0.59,0,-38156.23,0,227.09,0.88,87.05,0.34
1988,多頭出場,MacdSE,2023-06-12 13:30,25879.13,1,-35.86,-0.14,-38155.64,0,191.49,0.74,88.22,0.34
1988,多頭進場,MacdLE,2023-06-12 08:30,25914.99,1,-35.86,-0.14,-38155.64,0,191.49,0.74,88.22,0.34
1987,空頭出場,MacdLE,2023-06-12 08:30,25914.99,1,-19.20,-0.07,-38119.78,0,293.68,1.13,132.71,0.51
1987,空頭進場,MacdSE,2023-06-11 23:00,25895.79,1,-19.20,-0.07,-38119.78,0,293.68,1.13,132.71,0.51
1986,多頭出場,MacdSE,2023-06-11 23:00,25895.79,1,61.62,0.24,-38100.58,0.01,372.71,1.44,89.14,0.35
1986,多頭進場,MacdLE,2023-06-11 16:30,25834.17,1,61.62,0.24,-38100.58,0.01,372.71,1.44,89.14,0.35
1985,空頭出場,MacdLE,2023-06-11 16:30,25834.17,1,-130.85,-0.51,-38162.20,-0.01,8.60,0.03,195.68,0.76
1985,空頭進場,MacdSE,2023-06-11 14:00,25703.32,1,-130.85,-0.51,-38162.20,-0.01,8.60,0.03,195.68,0.76
1984,多頭出場,MacdSE,2023-06-11 14:00,25703.32,1,-92.32,-0.36,-38031.35,-0.01,46.80,0.18,122.96,0.48
1984,多頭進場,MacdLE,2023-06-11 11:30,25795.64,1,-92.32,-0.36,-38031.35,-0.01,46.80,0.18,122.96,0.48
1983,空頭出場,MacdLE,2023-06-11 11:30,25795.64,1,-60.11,-0.23,-37939.03,-0.01,40.53,0.16,81.48,0.32
1983,空頭進場,MacdSE,2023-06-11 08:30,25735.53,1,-60.11,-0.23,-37939.03,-0.01,40.53,0.16,81.48,0.32
1982,多頭出場,MacdSE,2023-06-11 08:30,25735.53,1,-83.57,-0.32,-37878.92,-0.01,4.81,0.02,85.03,0.33
1982,多頭進場,MacdLE,2023-06-11 06:00,25819.10,1,-83.57,-0.32,-37878.92,-0.01,4.81,0.02,85.03,0.33
1981,空頭出場,MacdLE,2023-06-11 06:00,25819.10,1,-91.59,-0.36,-37795.35,-0.01,92.81,0.36,107.08,0.42
1981,空頭進場,MacdSE,2023-06-11 04:00,25727.51,1,-91.59,-0.36,-37795.35,-0.01,92.81,0.36,107.08,0.42
1980,多頭出場,MacdSE,2023-06-11 04:00,25727.51,1,29.21,0.11,-37703.76,0,455.70,1.77,340.30,1.32
1980,多頭進場,MacdLE,2023-06-10 11:00,25698.30,1,29.21,0.11,-37703.76,0,455.70,1.77,340.30,1.32
1979,空頭出場,MacdLE,2023-06-10 11:00,25698.30,1,698.64,2.65,-37732.97,0.07,940.53,3.56,40.14,0.15
1979,空頭進場,MacdSE,2023-06-10 02:00,26396.94,1,698.64,2.65,-37732.97,0.07,940.53,3.56,40.14,0.15
1978,多頭出場,MacdSE,2023-06-10 02:00,26396.94,1,-70.15,-0.27,-38431.61,-0.01,66.78,0.25,155.78,0.59
1978,多頭進場,MacdLE,2023-06-09 23:30,26467.09,1,-70.15,-0.27,-38431.61,-0.01,66.78,0.25,155.78,0.59
1977,空頭出場,MacdLE,2023-06-09 23:30,26467.09,1,120.20,0.45,-38361.46,0.01,204.24,0.77,19.00,0.07
1977,空頭進場,MacdSE,2023-06-09 15:30,26587.29,1,120.20,0.45,-38361.46,0.01,204.24,0.77,19.00,0.07
1976,多頭出場,MacdSE,2023-06-09 15:30,26587.29,1,41.07,0.15,-38481.66,0,237.11,0.89,105.84,0.4
1976,多頭進場,MacdLE,2023-06-09 06:30,26546.22,1,41.07,0.15,-38481.66,0,237.11,0.89,105.84,0.4
1975,空頭出場,MacdLE,2023-06-09 06:30,26546.22,1,-1.83,-0.01,-38522.73,0,274.48,1.03,52.19,0.2
